track_id,filename,angry,calm,disgust,fearful,happy,neutral,sad,surprised,energy,loopable
angry1,angry1.mp3,0.90,0.00,0.15,0.30,0.00,0.05,0.05,0.10,0.90,yes
calm1,calm1.mp3,0.00,0.90,0.00,0.05,0.15,0.55,0.20,0.05,0.20,yes
disgust1,disgust1.mp3,0.20,0.05,0.90,0.45,0.00,0.05,0.20,0.15,0.35,yes
fearful1,fearful1.mp3,0.15,0.00,0.20,0.90,0.00,0.05,0.25,0.20,0.50,yes
happy1,happy1.mp3,0.00,0.25,0.00,0.00,0.90,0.35,0.00,0.25,0.55,yes
neutral1,neutral1.mp3,0.00,0.45,0.00,0.05,0.10,0.90,0.10,0.05,0.20,yes
sad1,sad1.mp3,0.05,0.25,0.05,0.20,0.00,0.20,0.90,0.05,0.30,yes
surprised1,surprised1.mp3,0.05,0.20,0.05,0.20,0.45,0.25,0.00,0.90,0.65,yes
